Date,Open,High,Low,Close,Volume
2009-01-02,2.570854,2.725321,2.549301,2.716639,746015200
2009-01-05,2.789083,2.879188,2.775312,2.831292,1181608400
2009-01-06,2.872304,2.908825,2.765734,2.784594,1289310400
2009-01-07,2.748371,2.769026,2.701971,2.724422,753048800
2009-01-08,2.707061,2.788485,2.695385,2.775014,673500800
2009-01-09,2.790282,2.795371,2.69838,2.711551,546845600
2009-01-12,2.707959,2.723825,2.620847,2.654076,617716400
2009-01-13,2.641503,2.686405,2.584925,2.625637,798397600
2009-01-14,2.581631,2.611866,2.536129,2.55439,1021664000
2009-01-15,2.411897,2.518168,2.396331,2.496016,1831634000
2009-01-16,2.523556,2.525951,2.406809,2.464583,1047625600
2009-01-20,2.452608,2.454704,2.34095,2.34095,919914800
2009-01-21,2.376573,2.481048,2.374178,2.479551,1089270000
2009-01-22,2.635514,2.694188,2.569058,2.645093,1409528400
2009-01-23,2.598993,2.690296,2.589414,2.645093,763770000
2009-01-26,2.660062,2.723226,2.643298,2.683412,692238400
2009-01-27,2.699876,2.740588,2.686405,2.716041,618038400
2009-01-28,2.757651,2.843865,2.739091,2.819917,861406000
2009-01-29,2.786689,2.824109,2.772021,2.783996,592729200
2009-01-30,2.77202,2.802554,2.694488,2.69808,651478800
2009-02-02,2.667246,2.754059,2.661259,2.73939,558247200
2009-02-03,2.751665,2.79537,2.702571,2.783396,599309200
2009-02-04,2.790581,2.881285,2.786988,2.800459,808421600
2009-02-05,2.777109,2.91122,2.772619,2.887571,749246400
2009-02-06,2.904335,2.993543,2.903737,2.985162,687209600
2009-02-09,2.993544,3.083349,2.978575,3.068681,715010800
2009-02-10,3.033358,3.068681,2.905534,2.928584,849060800
2009-02-11,2.884877,2.942951,2.866915,2.898347,674973600
2009-02-12,2.868712,2.986059,2.868712,2.97169,817188400
2009-02-13,2.963307,2.991746,2.937264,2.968397,608977600
2009-02-17,2.899845,2.904934,2.822312,2.829796,678238400
2009-02-18,2.845363,2.869311,2.775614,2.825007,684779200
2009-02-19,2.795071,2.821414,2.697481,2.713347,922804400
2009-02-20,2.676226,2.766033,2.664252,2.73011,750316000
2009-02-23,2.743582,2.75406,2.589714,2.602886,786982000
2009-02-24,2.617853,2.720831,2.604382,2.701672,807105600
2009-02-25,2.689997,2.781599,2.671736,2.728913,833053200
2009-02-26,2.754059,2.7816,2.663056,2.669941,629868400
2009-02-27,2.632221,2.733104,2.624438,2.673532,706658400
2009-03-02,2.63791,2.730111,2.624438,2.632521,770929600
2009-03-03,2.662157,2.71634,2.630725,2.645393,724340400
2009-03-04,2.699577,2.77711,2.677725,2.729213,741403600
2009-03-05,2.707959,2.750168,2.64779,2.659464,706899200
2009-03-06,2.644495,2.646292,2.464583,2.553492,1011147200
2009-03-09,2.519965,2.622344,2.471769,2.487934,698297600
2009-03-10,2.540619,2.669342,2.525352,2.653176,844258800
2009-03-11,2.688501,2.816026,2.681616,2.774415,846372800
2009-03-12,2.781001,2.891163,2.754059,2.884278,768457200
2009-03-13,2.882782,2.909724,2.844164,2.871705,601168400
2009-03-16,2.889667,2.915411,2.819318,2.856438,797244000
2009-03-17,2.851051,2.984263,2.845961,2.983365,786646000
2009-03-18,2.990848,3.097718,2.985161,3.039044,796037200
2009-03-19,3.048923,3.089336,3.001026,3.042038,500180800
2009-03-20,3.056107,3.086641,3.010606,3.041139,695587200
2009-03-23,3.074668,3.237816,3.045931,3.222849,666397200
2009-03-24,3.183932,3.276133,3.154895,3.188123,640612000
2009-03-25,3.220454,3.243803,3.109094,3.187824,646618000
2009-03-26,3.227936,3.292298,3.220453,3.289006,616252000
2009-03-27,3.239911,3.248892,3.185129,3.1986,492872800
2009-03-30,3.128551,3.143519,3.071674,3.127953,502796000
2009-03-31,3.156691,3.216562,3.14322,3.146813,570080000
2009-04-01,3.115978,3.262961,3.109991,3.253681,589372000
2009-04-02,3.297088,3.43509,3.286311,3.374022,812366800
2009-04-03,3.418326,3.476401,3.39827,3.47221,636241200
2009-04-06,3.440777,3.554831,3.391084,3.545851,658064400
2009-04-07,3.488376,3.492567,3.418326,3.442574,536580800
2009-04-08,3.455446,3.496158,3.430001,3.482089,455630000
2009-04-09,3.544954,3.592251,3.531183,3.579379,530756800
2009-04-13,3.592551,3.621588,3.562317,3.598837,389236400
2009-04-14,3.579379,3.597341,3.509929,3.541661,454622000
2009-04-15,3.508432,3.539865,3.465326,3.521604,412882400
2009-04-16,3.568004,3.686547,3.556029,3.635658,593446000
2009-04-17,3.627576,3.719478,3.599736,3.694631,497495600
2009-04-20,3.644039,3.681758,3.567105,3.607218,466466000
2009-04-21,3.559024,3.656315,3.550343,3.644938,470685600
2009-04-22,3.670982,3.752406,3.628173,3.637454,938767200
2009-04-23,3.790424,3.807786,3.697324,3.753902,945156800
2009-04-24,3.731152,3.74612,3.68116,3.709,540764000
2009-04-27,3.679064,3.741928,3.671879,3.733845,480690000
2009-04-28,3.692535,3.778151,3.689841,3.709,455856800
2009-04-29,3.737438,3.797308,3.706903,3.746119,458110800
2009-04-30,3.778448,3.801798,3.739533,3.766774,498489600
2009-05-01,3.765877,3.830238,3.765877,3.808984,397516000
2009-05-04,3.838918,3.958959,3.822154,3.953571,609358400
2009-05-05,3.943991,3.97722,3.925132,3.97273,398255200
2009-05-06,3.991291,3.99638,3.898191,3.966444,473538800
2009-05-07,3.961353,3.963149,3.828739,3.863464,531776000
2009-05-08,3.862868,3.928427,3.779648,3.867359,467964000
2009-05-11,3.812876,3.920344,3.805392,3.878734,404658800
