Date,Open,High,Low,Close,Volume
2009-01-02,7.659418,7.987537,7.582476,7.975127,144275580
2009-01-05,7.967185,8.22134,7.818265,8.142164,195364440
2009-01-06,8.264528,8.458619,8.100964,8.291333,256750992
2009-01-07,8.148866,8.213149,7.91134,7.992252,179600220
2009-01-08,7.899674,8.071179,7.876343,8.071179,143883972
2009-01-09,8.128514,8.128514,7.778553,7.820003,173446380
2009-01-12,7.85078,7.916304,7.699875,7.760931,132039828
2009-01-13,7.738096,7.957256,7.703845,7.801387,177122700
2009-01-14,7.694166,7.788481,7.390122,7.470043,218497284
2009-01-15,7.385655,7.534822,7.118097,7.420899,237142620
2009-01-16,7.570562,7.650731,7.339241,7.437776,208767024
2009-01-20,7.424622,7.433557,7.017824,7.017824,201726072
2009-01-21,7.156815,7.532837,7.156815,7.522413,196783020
2009-01-22,7.39732,7.678032,7.32559,7.607296,330349320
2009-01-23,7.676047,8.23921,7.550707,8.059018,428882688
2009-01-26,8.062741,8.140924,7.956264,8.038418,184243572
2009-01-27,8.102454,8.286618,8.048347,8.227298,196894908
2009-01-28,8.388626,8.744792,8.347177,8.653951,307348344
2009-01-29,8.551445,8.564103,8.441493,8.521165,291060648
2009-01-30,8.555168,8.657178,8.339483,8.402277,186693120
2009-02-02,8.297042,8.562863,8.240203,8.45291,208067724
2009-02-03,8.502548,8.513221,8.285623,8.44993,261997740
2009-02-04,8.440499,8.797161,8.418161,8.513222,272423304
2009-02-05,8.461348,8.820491,8.364301,8.779291,290285424
2009-02-06,8.847297,9.277922,8.821981,9.215128,281242476
2009-02-09,9.215129,9.456379,9.116347,9.401031,198892908
2009-02-10,9.331782,9.369508,8.88279,8.898178,283863852
2009-02-11,8.909099,9.059259,8.76142,8.886513,209054736
2009-02-12,8.765391,9.025007,8.723694,9.010859,221789988
2009-02-13,8.989515,9.009371,8.816769,8.877577,165702132
2009-02-17,8.600339,8.614735,8.431067,8.504783,226988784
2009-02-18,8.618458,8.770852,8.451669,8.764152,240739020
2009-02-19,8.872365,8.930195,8.473757,8.504287,199348452
2009-02-20,8.390363,8.660155,8.314661,8.598849,248435316
2009-02-23,8.612503,8.681998,8.179395,8.192054,208635156
2009-02-24,8.215879,8.677529,8.212653,8.57403,243592164
2009-02-25,8.492126,8.744047,8.411957,8.479468,257306436
2009-02-26,8.586689,8.748763,8.368274,8.368771,223999776
2009-02-27,8.263782,8.533574,8.218113,8.388874,216583200
2009-03-02,8.273213,8.456135,8.091283,8.120074,231308460
2009-03-03,8.192301,8.28215,8.000693,8.078379,260731008
2009-03-04,8.020795,8.165744,7.827696,7.915559,312423264
2009-03-05,7.854998,7.91953,7.511492,7.585951,260934804
2009-03-06,7.625166,7.698882,7.303252,7.658673,289078632
2009-03-09,7.44547,7.609033,7.184116,7.219858,258593148
2009-03-10,7.402532,7.706575,7.303253,7.648746,268938792
2009-03-11,7.696648,7.942365,7.587688,7.890491,236707056
2009-03-12,7.881308,8.066464,7.784759,8.029979,200763036
2009-03-13,8.093765,8.127521,7.918289,8.052068,156099744
2009-03-16,8.091036,8.183862,7.907368,7.934669,197674128
2009-03-17,7.946834,8.323103,7.919779,8.323103,188311500
2009-03-18,8.309948,8.438763,8.142165,8.267507,200287512
2009-03-19,8.23226,8.339483,8.125536,8.189075,164283552
2009-03-20,8.19801,8.264776,8.099724,8.194535,189326484
2009-03-23,8.278922,8.67331,8.265767,8.652214,170689140
2009-03-24,8.600091,8.782269,8.538042,8.61672,152647200
2009-03-25,8.69689,8.72022,8.345689,8.53978,173278548
2009-03-26,8.764645,8.91431,8.649729,8.768617,239891868
2009-03-27,8.686961,8.736602,8.574527,8.629876,132779088
2009-03-30,8.502051,8.533324,8.340722,8.505526,123640236
2009-03-31,8.660403,8.774078,8.592148,8.638809,146065788
2009-04-01,8.532581,8.817017,8.453903,8.788474,131915952
2009-04-02,9.017314,9.177402,8.943103,8.997211,179340480
2009-04-03,9.04685,9.226049,8.88552,9.177898,151440408
2009-04-06,9.108899,9.178891,8.969907,9.139675,131080788
2009-04-07,8.999691,9.028234,8.818755,8.901653,147056796
2009-04-08,9.022031,9.059261,8.841093,8.984801,110497392
2009-04-09,9.170949,9.291326,9.090284,9.245409,135168696
2009-04-13,9.216371,9.409221,9.190805,9.384648,121881996
2009-04-14,9.355608,9.356849,9.07415,9.156304,137006856
2009-04-15,9.111382,9.457866,9.038411,9.419147,197030772
2009-04-16,9.468788,9.751734,9.456874,9.648483,406996596
2009-04-17,9.580974,9.923489,9.550943,9.735354,428802768
2009-04-20,9.584199,9.695888,9.329547,9.414183,176978844
2009-04-21,9.336497,9.538283,9.33476,9.468042,147668184
2009-04-22,9.474993,9.679757,9.406986,9.527363,139931928
2009-04-23,9.617956,9.673553,9.459108,9.547964,104255640
2009-04-24,9.581717,9.758683,9.443968,9.667098,135280584
2009-04-27,9.539276,9.667099,9.499812,9.579236,91532376
2009-04-28,9.524631,9.656177,9.46978,9.523639,117626256
2009-04-29,9.579732,9.803111,9.576257,9.716242,144255600
2009-04-30,9.822719,10.02103,9.798892,9.82793,174053772
2009-05-01,9.804601,9.86814,9.718228,9.771342,97010892
2009-05-04,9.882535,9.987524,9.798645,9.977099,127991880
2009-05-05,9.927459,10.052054,9.8597,10.002167,95935968
2009-05-06,10.096483,10.133465,9.952776,10.014081,105210684
2009-05-07,10.029718,10.051808,9.741807,9.843817,119872008
2009-05-08,9.998692,10.179381,9.803856,10.109885,154449396
2009-05-11,9.997452,10.225795,9.95774,10.126019,102269628
2009-05-12,10.176404,10.200727,9.806587,9.903384,151480368
2009-05-13,9.78127,9.838357,9.638803,9.66834,113598288
2009-05-14,9.649973,9.734609,9.547964,9.617707,117362520
2009-05-15,9.707057,9.781766,9.65717,9.679756,120227652
2009-05-18,9.797154,9.86119,9.565585,9.849524,133933932
2009-05-19,9.831157,9.96866,9.754216,9.900157,113386500
2009-05-20,9.97983,10.068685,9.803857,9.857964,91268640
2009-05-21,9.83612,9.998443,9.775064,9.841084,108683208
2009-05-22,9.845057,9.894449,9.729396,9.766626,68675256
2009-05-26,9.728155,10.052053,9.679755,10.036168,124055820
2009-05-27,10.067939,10.222319,10.047338,10.065953,121250628
2009-05-28,10.143393,10.216364,10.042375,10.186083,106645248
2009-05-29,10.228524,10.355601,10.193528,10.355601,105822072
2009-06-01,10.392832,10.662623,10.387868,10.587172,132763104
2009-06-02,10.579478,10.67156,10.508742,10.632841,104839056
2009-06-03,10.573272,10.733608,10.523633,10.713504,141170688
2009-06-04,10.804097,10.951528,10.784242,10.927701,145378476
2009-06-05,11.046589,11.10293,10.907348,11.027973,147084768
2009-06-08,10.908341,10.943586,10.774811,10.890224,123824052
2009-06-09,10.885508,10.933163,10.716236,10.81204,130065804
2009-06-10,10.827179,10.86838,10.589901,10.737082,134221644
2009-06-11,10.716483,10.765131,10.632096,10.647733,114493392
2009-06-12,10.594617,10.615466,10.454385,10.544481,116619264
2009-06-15,10.461584,10.461584,10.275434,10.344186,149326524
2009-06-16,10.407227,10.451407,10.310677,10.325072,121866012
2009-06-17,10.32979,10.417404,10.214874,10.304225,139464396
2009-06-18,10.317132,10.39184,10.250614,10.276924,123284592
2009-06-19,10.379927,10.435771,10.28983,10.426588,170193636
2009-06-22,10.348653,10.362056,9.974865,10.110382,164811024
2009-06-23,10.093008,10.151088,9.991247,10.068933,115868016
2009-06-24,10.144882,10.231503,10.090775,10.158532,98213688
2009-06-25,10.101695,10.322592,10.089533,10.319366,121658220
2009-06-26,10.26749,10.628619,10.253343,10.556395,130137732
2009-06-29,10.573272,10.617947,10.47995,10.527106,86685228
2009-06-30,10.523635,10.603306,10.380175,10.463818,103652244
2009-07-01,10.528597,10.583202,10.378437,10.399285,92339568
2009-07-02,10.31043,10.31043,10.096979,10.138676,100603296
2009-07-06,10.089286,10.192039,9.969157,10.166475,90413496
2009-07-07,10.132472,10.156051,9.828179,9.844314,130241628
2009-07-08,9.927954,10.076874,9.879804,9.989756,137510352
2009-07-09,10.079854,10.286604,10.071911,10.185834,130892976
2009-07-10,10.165732,10.35908,10.14389,10.285363,116946936
2009-07-13,10.329294,10.53654,10.304722,10.531079,161666172
2009-07-14,10.516434,10.591392,10.445946,10.540759,115716168
2009-07-15,10.664113,10.887988,10.635074,10.87533,150928920
2009-07-16,10.838348,11.063465,10.774312,10.985281,261917820
2009-07-17,10.747013,10.808565,10.590646,10.678758,273889836
2009-07-20,10.669574,10.743289,10.579477,10.676771,126013860
2009-07-21,10.695882,10.719709,10.566323,10.62043,118609272
2009-07-22,10.622913,10.677517,10.511223,10.615219,103364532
2009-07-23,10.639788,10.950781,10.56086,10.854728,138988872
2009-07-24,10.816755,11.181112,10.796652,11.087541,144930924
2009-07-27,11.070663,11.088285,10.861432,11.039886,100075824
2009-07-28,10.94557,10.990494,10.823952,10.917027,101198700
2009-07-29,10.851999,10.866147,10.71946,10.827427,79400520
2009-07-30,10.985532,11.205436,10.985532,11.060736,127816056
2009-07-31,11.168455,11.235964,10.981064,10.996451,114301584
2009-08-03,11.137677,11.265748,11.110374,11.223803,103508388
2009-08-04,11.153312,11.268228,11.129982,11.261527,95496408
2009-08-05,11.317869,11.340455,11.116331,11.197245,93586320
2009-08-06,11.275674,11.290069,11.132463,11.177884,84351564
2009-08-07,11.309681,11.402755,11.292803,11.345173,101622276
2009-08-10,11.296525,11.377686,11.263018,11.333011,69610320
2009-08-11,11.260038,11.348397,11.22802,11.26674,68431500
2009-08-12,11.303226,11.460583,11.291064,11.381905,93562344
2009-08-13,11.47051,11.534297,11.390093,11.473737,79728192
2009-08-14,11.486148,11.496076,11.339959,11.417149,66936996
2009-08-17,11.206181,11.218343,10.998191,11.042121,104703192
2009-08-18,11.047333,11.111865,10.978333,11.0518,93949956
2009-08-19,10.920503,11.04485,10.885009,11.019285,90109800
2009-08-20,11.218589,11.471256,11.199478,11.427325,159796044
2009-08-21,11.554652,11.568302,11.482923,11.547206,142277580
2009-08-24,11.599575,11.667582,11.526853,11.633827,98037864
2009-08-25,11.643753,11.773313,11.633576,11.699349,93546360
2009-08-26,11.733852,11.739809,11.583443,11.615709,79432488
2009-08-27,11.630103,11.630103,11.435268,11.567557,79876044
2009-08-28,11.646981,11.724171,11.50104,11.535043,70793136
2009-08-31,11.411937,11.463314,11.367509,11.458598,78237684
2009-09-01,11.409206,11.58642,11.278653,11.311912,103692204
2009-09-02,11.313402,11.3757,11.233233,11.243658,72119808
2009-09-03,11.313402,11.373714,11.293049,11.355595,65782152
2009-09-04,11.356836,11.48168,11.312408,11.449413,59908032
2009-09-08,11.523627,11.59064,11.313898,11.382898,106161732
2009-09-09,11.39382,11.57277,11.387365,11.515685,87728184
2009-09-10,11.582201,11.688678,11.466788,11.688678,101282616
2009-09-11,11.675276,11.747253,11.606524,11.718462,76039884
2009-09-14,11.678005,11.834122,11.666587,11.792424,78948972
2009-09-15,11.791434,11.886494,11.732612,11.85249,95828076
2009-09-16,11.908582,12.146108,11.87582,12.119303,103308588
2009-09-17,12.175894,12.344669,12.091009,12.204435,179144676
2009-09-18,12.329777,12.334989,12.192275,12.197983,131208660
2009-09-21,12.105653,12.382643,12.067927,12.335485,84571344
2009-09-22,12.432779,12.459336,12.35559,12.386614,121526352
2009-09-23,12.429305,12.583685,12.353108,12.371723,108059832
2009-09-24,12.421609,12.44494,12.236204,12.329776,101002896
2009-09-25,12.268223,12.408207,12.211385,12.223298,81902016
2009-09-28,12.281872,12.447173,12.24365,12.373459,73498428
2009-09-29,12.398278,12.403739,12.236453,12.373459,83884032
2009-09-30,12.409946,12.41342,12.093244,12.306943,125542332
2009-10-01,12.236205,12.32233,12.087286,12.09225,112415472
2009-10-02,12.006373,12.204932,11.978078,12.027222,103927968
2009-10-05,12.103418,12.222058,11.996446,12.125012,85698216
2009-10-06,12.203939,12.394308,12.203939,12.378671,109182708
2009-10-07,12.385124,12.881274,12.35559,12.845285,194773032
2009-10-08,12.89567,12.987007,12.741042,12.76189,171979848
2009-10-09,12.823195,12.943821,12.769832,12.813268,109414476
2009-10-12,12.991227,13.049305,12.889466,13.006615,132755112
2009-10-13,13.015301,13.091498,12.940593,13.057991,121374504
2009-10-14,13.215599,13.293037,13.154541,13.286583,130205664
2009-10-15,13.247615,13.325797,13.086782,13.152307,243771984
2009-10-16,13.584669,13.768833,13.515173,13.647215,353322324
2009-10-19,13.717706,13.740292,13.619419,13.702813,128587284
2009-10-20,13.691645,13.72416,13.420115,13.69363,161586252
2009-10-21,13.648704,13.883005,13.626118,13.67824,146677176
2009-10-22,13.65094,13.775039,13.601299,13.752452,93366540
2009-10-23,13.781243,13.846767,13.680722,13.742523,95612292
2009-10-26,13.793652,13.939841,13.673027,13.755429,118697184
2009-10-27,13.675014,13.764118,13.50599,13.608497,128531340
2009-10-28,13.598073,13.65094,13.359306,13.410187,102609288
2009-10-29,13.477448,13.69636,13.427561,13.677,100803096
2009-10-30,13.650939,13.655158,13.259776,13.306438,138601260
2009-11-02,13.330265,13.389337,13.110858,13.253572,127955916
