Date,Open,High,Low,Close,Volume
2009-01-02,6.155241,6.458053,6.155241,6.423114,300500
2009-01-05,6.392056,6.39788,6.287237,6.364881,321500
2009-01-06,6.401762,6.543462,6.401762,6.48717,478500
2009-01-07,6.401761,6.401761,6.254237,6.298882,322000
2009-01-08,6.298883,6.310529,6.207651,6.302765,1541500
2009-01-09,6.287237,6.298883,6.13583,6.196004,879000
2009-01-12,6.205709,6.236767,6.098948,6.133888,356500
2009-01-13,6.11836,6.186298,6.034892,6.114478,1802500
2009-01-14,6.046539,6.04848,5.864075,5.914544,563000
2009-01-15,5.906779,5.992187,5.753432,5.945601,1021000
2009-01-16,6.032951,6.100889,5.858251,6.03101,994500
2009-01-20,6.01354,6.038775,5.722374,5.730139,960500
2009-01-21,5.800018,6.017422,5.761196,5.999952,791000
2009-01-22,5.842723,5.88931,5.71461,5.800019,953000
2009-01-23,5.724315,5.951424,5.689375,5.877663,2100500
2009-01-26,5.908721,6.02907,5.846606,5.908721,2593500
2009-01-27,5.916486,5.996071,5.88737,5.951426,1017000
2009-01-28,6.042658,6.176594,6.019365,6.118361,1388500
2009-01-29,6.089243,6.106713,5.953366,5.982482,669500
2009-01-30,6.017423,6.031011,5.819431,5.825254,619000
2009-02-02,5.759255,5.889309,5.759255,5.860193,480000
2009-02-03,5.867957,6.009658,5.780607,5.984423,606000
2009-02-04,6.027128,6.133889,5.97666,6.017423,337500
2009-02-05,5.951425,6.225121,5.92425,6.166888,1300000
2009-02-06,6.188239,6.366821,6.188239,6.353233,558000
2009-02-09,6.339644,6.362937,6.275588,6.327997,351500
2009-02-10,6.281413,6.345469,6.032951,6.06595,382500
2009-02-11,6.114478,6.168829,6.02907,6.124184,835000
2009-02-12,6.021305,6.141654,5.94172,6.139713,859500
2009-02-13,6.161064,6.219297,6.128066,6.128066,288500
2009-02-17,5.90484,6.0116,5.881546,5.916486,330000
2009-02-18,5.947541,6.001892,5.846604,5.899014,342500
2009-02-19,5.933955,5.953366,5.811666,5.815548,188500
2009-02-20,5.76702,5.852429,5.726257,5.796137,502000
2009-02-23,5.809723,5.833016,5.607848,5.621436,325000
2009-02-24,5.648613,5.833018,5.62532,5.80196,883000
2009-02-25,5.768961,5.815548,5.635025,5.730139,496000
2009-02-26,5.743726,5.743726,5.594261,5.607849,317000
2009-02-27,5.522441,5.699081,5.522441,5.600085,1545500
2009-03-02,5.499148,5.563204,5.427327,5.446738,4736500
2009-03-03,5.483618,5.501088,5.378798,5.407915,2082500
2009-03-04,5.458384,5.600084,5.456443,5.520499,455000
2009-03-05,5.473914,5.557381,5.390446,5.398211,1751000
2009-03-06,5.427328,5.468091,5.301156,5.409858,1440500
2009-03-09,5.367152,5.501088,5.306978,5.316683,681500
2009-03-10,5.394328,5.677729,5.382681,5.664141,1363000
2009-03-11,5.71461,5.796137,5.679671,5.74955,761500
2009-03-12,5.755373,5.926191,5.677729,5.912603,3487000
2009-03-13,5.899015,5.904838,5.790313,5.862134,1034500
2009-03-16,5.904839,5.904839,5.737904,5.743727,3123500
2009-03-17,5.763138,5.912603,5.720434,5.912603,587500
2009-03-18,5.930072,6.17271,5.916485,6.108654,355500
2009-03-19,6.24453,6.24453,6.147475,6.190179,2112000
2009-03-20,6.172711,6.238708,5.990247,6.023245,569000
2009-03-23,6.139712,6.411467,6.108655,6.411467,943500
2009-03-24,6.397879,6.397879,6.256178,6.271707,929500
2009-03-25,6.31247,6.407584,6.182415,6.351292,519000
2009-03-26,6.446406,6.624988,6.434759,6.624988,1166500
2009-03-27,6.580344,6.580344,6.423114,6.428937,684500
2009-03-30,6.417288,6.417288,6.19212,6.277529,476500
2009-03-31,6.374585,6.539579,6.359056,6.41923,654000
2009-04-01,6.339645,6.555108,6.335763,6.516286,942000
2009-04-02,6.632753,6.85598,6.615282,6.735631,1906000
2009-04-03,6.73369,6.830745,6.69875,6.830745,379500
2009-04-06,6.780276,6.780276,6.609459,6.714279,1132500
2009-04-07,6.70069,6.70069,6.535697,6.578401,440000
2009-04-08,6.621106,6.780276,6.621106,6.727867,423000
2009-04-09,6.846275,6.914213,6.811335,6.904508,1429500
2009-04-13,6.900625,6.900625,6.755042,6.832686,467000
2009-04-14,6.782218,6.807453,6.69681,6.716221,375500
2009-04-15,6.685162,6.712337,6.582283,6.677397,552000
2009-04-16,6.788041,6.894802,6.690986,6.848216,611500
2009-04-17,6.850156,6.914213,6.762806,6.867626,384500
2009-04-20,6.698751,6.712339,6.60752,6.630813,564000
2009-04-21,6.654105,6.793864,6.654105,6.793864,1825000
2009-04-22,6.696808,6.953033,6.687102,6.826861,1047000
2009-04-23,6.791924,6.813276,6.68128,6.80357,1251000
2009-04-24,6.869566,7.079205,6.811333,7.028737,1128000
2009-04-27,6.92586,7.069502,6.892861,6.972446,503500
2009-04-28,6.9608,6.9608,6.848216,6.904508,491500
2009-04-29,6.931683,7.092794,6.931683,7.01515,820500
2009-04-30,7.08697,7.180143,7.030678,7.075324,1789000
2009-05-01,7.065619,7.12191,7.036502,7.090853,1063500
2009-05-04,7.15491,7.182085,7.112205,7.174321,748000
2009-05-05,7.164615,7.187908,7.08503,7.174321,1526000
