Date,Open,High,Low,Close,Volume
2009-01-02,6.142888,6.368788,6.095331,6.337083,8959600
2009-01-05,6.297449,6.356896,6.230075,6.317264,12531400
2009-01-06,6.388605,6.519389,6.356899,6.463904,16853800
2009-01-07,6.364825,6.364825,6.210262,6.25782,12422000
2009-01-08,6.214224,6.313303,6.178556,6.301413,11421600
2009-01-09,6.301414,6.317267,6.138925,6.162704,7885600
2009-01-12,6.182519,6.182519,6.004177,6.051735,10259200
2009-01-13,6.07155,6.107219,5.976435,6.023993,17308400
2009-01-14,5.956621,5.988326,5.809984,5.841689,17025800
2009-01-15,5.837725,5.932841,5.695052,5.88132,15304600
2009-01-16,5.992287,6.008139,5.798092,5.92095,14892800
2009-01-20,5.909062,5.936804,5.66731,5.679199,33716200
2009-01-21,5.817909,5.956619,5.726756,5.952656,11724800
2009-01-22,5.825837,5.91699,5.722795,5.817911,14986000
2009-01-23,5.710905,6.008141,5.702979,5.901136,14874600
2009-01-26,5.936803,6.08344,5.920951,5.972472,14685600
2009-01-27,5.992287,6.075514,5.948693,6.00814,12281000
2009-01-28,6.099291,6.253854,6.067586,6.178554,14272800
2009-01-29,6.123072,6.123072,5.96851,5.996252,10149800
2009-01-30,6.027958,6.027958,5.817911,5.817911,10148800
2009-02-02,5.786205,5.988326,5.770353,5.909063,9860600
2009-02-03,5.936804,6.055698,5.861504,6.027956,12651800
2009-02-04,6.043808,6.198371,6.012103,6.023993,11547800
2009-02-05,5.95662,6.194409,5.940767,6.119109,17939000
2009-02-06,6.166669,6.384643,6.146853,6.329158,15331400
2009-02-09,6.345008,6.396529,6.297451,6.345008,9208800
2009-02-10,6.32123,6.372751,6.051736,6.087404,17649000
2009-02-11,6.083438,6.154775,6.023991,6.099291,11357000
2009-02-12,6.043809,6.142888,5.94473,6.127035,11572200
2009-02-13,6.119106,6.222148,6.099291,6.099291,7834200
2009-02-17,5.94473,5.960583,5.845651,5.845651,12472000
2009-02-18,5.928877,5.94473,5.802056,5.849614,13326400
2009-02-19,5.909064,5.909064,5.70298,5.706943,13666400
2009-02-20,5.647493,5.802056,5.63164,5.762424,24569200
2009-02-23,5.786206,5.794132,5.481043,5.496895,28396800
2009-02-24,5.544453,5.722795,5.508785,5.643532,16381400
2009-02-25,5.667308,5.798092,5.552377,5.69505,36860200
2009-02-26,5.722794,5.821873,5.627679,5.635605,14137000
2009-02-27,5.56823,5.710903,5.560304,5.595972,13934400
2009-03-02,5.524636,5.619752,5.417631,5.461226,14689400
2009-03-03,5.496892,5.528597,5.381961,5.409703,14889600
2009-03-04,5.51671,5.655421,5.485005,5.552379,12826000
2009-03-05,5.485004,5.564267,5.370073,5.381962,13908600
2009-03-06,5.473114,5.492929,5.219472,5.409703,46663200
2009-03-09,5.298735,5.41763,5.183804,5.239288,18855000
2009-03-10,5.290811,5.564268,5.274958,5.540489,49537600
2009-03-11,5.623714,5.722792,5.564267,5.663345,28460000
